reg no,internal,external,overall,grade
201800341,45.20,41.25,87.00,S
201800010,25.20,19.75,45.00,D
201800021,21.05,28,50.00,D
201800031,26.20,13,40.00,E
201800043,26.05,12.75,39.00,E
201800054,19.50,15.25,35.00,E
201800065,43.90,44,88.00,S
201800078,40.10,40.5,81.00,A
201800091,35.15,40.75,76.00,B
201800101,40.80,41.25,83.00,A
201800115,41.60,44.25,86.00,A
201800140,35.50,29.75,66.00,B
201800151,35.55,33.5,70.00,B
201800188,24.90,35,60.00,C
201800200,34.55,35.25,70.00,B
201800211,30.65,33.50,65.00,C
201800221,32.55,33.25,66.00,B
201800232,29.25,33.5,63.00,C
201800242,41.90,36.5,79.00,A
201800253,26.75,26.75,54.00,D
201800265,24.85,20.5,46.00,D
201800275,16.55,3,20.00,F
201800285,30.75,30,61.00,C
201800459,36.80,43,80.00,A
201800469,35.35,35.75,72.00,B
201800489,28.70,26,55.00,D
201800499,40.35,34.25,75.00,B
201800509,34.80,31.5,67.00,B
201800519,25.80,14.5,41.00,E
201800529,24.35,20.5,45.00,D
201800539,39.85,48,88.00,S
201800549,40.80,49.25,91.00,S
201800569,25.25,30,56.00,C
201800579,19.10,MP,0.00,MP
201800589,30.95,26.25,58.00,C
201800609,36.90,29.75,67.00,B
201800619,22.35,18.5,41.00,E
201800629,35.50,38.5,74.00,B
201800639,21.20,31.75,53.00,D
201800649,32.10,32.75,65.00,C
201800306,30.20,36,67.00,B
201800309,14.35,3.5,18.00,F
201800313,15.95,9.5,26.00,F
201800251,27.85,24,52.00,D
201800334,15.50,8.75,25.00,F
201800335,17.90,21.5,40.00,E
201800339,11.45,AB,0.00,I
20140176,17.70,10.75,29.00,F
201600331,21.95,13.75,36.00,E
201700190,19.85,14.75,35.00,E
201700206,8.30,9,18.00,F
201700247,17.85,0,18.00,F
201700501,9.25,0,10.00,F
201700526,0.00,DT,0.00,DT
20120729,15.95,8.75,25.00,F
201500141,20.70,6.25,27.00,F
201500239,24.00,AB,0.00,I
201700043,20.00,5.5,26.00,F
201700515,20.65,AB,0.00,I
201700518,17.25,17,35.00,E
201700561,18.35,16.25,35.00,E
201800102,9.00,4,13.00,F
20140030,20.25,AB,0.00,I
201700019,14.55,5,20.00,F
201700158,11.10,25,37.00,E
201700270,12.30,2,15.00,F
201500143,20.55,4.25,25.00,F
